model_name,best_params,best_rmse,std,n_features
LinearRegression,"{'fit_intercept': True, 'positive': True}",395.0009075660192,42.299406836122664,177
Best_CatBoost,{},252.9653715928166,35.577702486831924,177
Best_RandomForest,{},257.8276860292691,26.234843042398108,177
Best_LGBM,{},264.6744233140841,22.554381570410392,177
Best_XGBoost,{},261.74410036350116,23.696217552744375,177
Best_GradientBoosting,{},263.5176648868804,17.923091583181527,177
Ensemble,"{'weights': (6, 3.5, 2.7, 1, 3.5)}",249.53018280860252,23.47026931045804,177
